 1|  0|  2|  2|  2|  0|   -0.0235E0|0.0000E0| 0.2617E0| 0.0000E0| -0.2209E0| 0.0000E0
 2|  0|  2|  0|  1|  0|   -0.0404E0|0.0000E0| 0.3706E0| 0.0000E0| -0.3128E0| 0.0000E0
 2|  0|  2|  0|  2|  0|   -0.0987E0|0.0000E0| 0.9041E0| 0.0000E0| -0.7630E0| 0.0000E0
 0|  0|  2|  2|  1|  0|   -0.0508E0|0.0000E0| 0.4499E0| 0.0000E0| -0.3797E0| 0.0000E0
 0|  0|  2|  2|  2|  0|   -0.1231E0|0.0000E0| 1.0904E0| 0.0000E0| -0.9203E0| 0.0000E0
 1|  0|  2|  0|  0|  0|   -0.0385E0|0.0000E0| 0.2659E0| 0.0000E0| -0.2244E0| 0.0000E0
 1|  0|  2|  0|  1|  0|   -0.4108E0|0.0000E0| 2.8298E0| 0.0000E0| -2.3884E0| 0.0000E0
 1|  0|  2|  0|  2|  0|   -0.9926E0|0.0000E0| 6.8291E0| 0.0000E0| -5.7637E0| 0.0000E0
 3|  0|  0|  0|  0|  0|   -0.0179E0|0.0000E0| 0.1222E0| 0.0000E0| -0.1031E0| 0.0000E0
-1|  0|  2|  2|  1|  0|   -0.0818E0|0.0000E0| 0.5384E0| 0.0000E0| -0.4544E0| 0.0000E0
-1|  0|  2|  2|  2|  0|   -0.1974E0|0.0000E0| 1.2978E0| 0.0000E0| -1.0953E0| 0.0000E0
 1|  0|  0|  2|  0|  0|   -0.0761E0|0.0000E0| 0.4976E0| 0.0000E0| -0.4200E0| 0.0000E0
 2|  0|  2| -2|  2|  0|    0.0216E0|0.0000E0|-0.1060E0| 0.0000E0|  0.0895E0| 0.0000E0
 0|  1|  2|  0|  2|  0|    0.0254E0|0.0000E0|-0.1211E0| 0.0000E0|  0.1022E0| 0.0000E0
 0|  0|  2|  0|  0|  0|   -0.2989E0|0.0000E0| 1.3804E0| 0.0000E0| -1.1650E0| 0.0000E0
 0|  0|  2|  0|  1|  0|   -3.1873E0|0.2010E0|14.6890E0| 0.9266E0|-12.3974E0|-0.7820E0
 0|  0|  2|  0|  2|  0|   -7.8468E0|0.5320E0|36.0910E0| 2.4469E0|-30.4606E0|-2.0652E0
 2|  0|  0|  0| -1|  0|    0.0216E0|0.0000E0|-0.0988E0| 0.0000E0|  0.0834E0| 0.0000E0
 2|  0|  0|  0|  0|  0|   -0.3384E0|0.0000E0| 1.5433E0| 0.0000E0| -1.3025E0| 0.0000E0
 2|  0|  0|  0|  1|  0|    0.0179E0|0.0000E0|-0.0813E0| 0.0000E0|  0.0686E0| 0.0000E0
 0| -1|  2|  0|  2|  0|   -0.0244E0|0.0000E0| 0.1082E0| 0.0000E0| -0.0913E0| 0.0000E0
 0|  0|  0|  2| -1|  0|    0.0470E0|0.0000E0|-0.2004E0| 0.0000E0|  0.1692E0| 0.0000E0
 0|  0|  0|  2|  0|  0|   -0.7341E0|0.0000E0| 3.1240E0| 0.0000E0| -2.6367E0| 0.0000E0
 0|  0|  0|  2|  1|  0|   -0.0526E0|0.0000E0| 0.2235E0| 0.0000E0| -0.1886E0| 0.0000E0
 0| -1|  0|  2|  0|  0|   -0.0508E0|0.0000E0| 0.2073E0| 0.0000E0| -0.1749E0| 0.0000E0
 1|  0|  2| -2|  1|  0|    0.0498E0|0.0000E0|-0.1312E0| 0.0000E0|  0.1107E0| 0.0000E0
 1|  0|  2| -2|  2|  0|    0.1006E0|0.0000E0|-0.2640E0| 0.0000E0|  0.2228E0| 0.0000E0
 1|  1|  0|  0|  0|  0|    0.0395E0|0.0000E0|-0.0968E0| 0.0000E0|  0.0817E0| 0.0000E0
-1|  0|  2|  0|  0|  0|    0.0470E0|0.0000E0|-0.1099E0| 0.0000E0|  0.0927E0| 0.0000E0
-1|  0|  2|  0|  1|  0|    0.1767E0|0.0000E0|-0.4115E0| 0.0000E0|  0.3473E0| 0.0000E0
-1|  0|  2|  0|  2|  0|    0.4352E0|0.0000E0|-1.0093E0| 0.0000E0|  0.8519E0| 0.0000E0
 1|  0|  0|  0| -1|  0|    0.5339E0|0.0000E0|-1.2224E0| 0.0000E0|  1.0317E0| 0.0000E0
 1|  0|  0|  0|  0|  0|   -8.4046E0|0.2500E0|19.1647E0| 0.5701E0|-16.1749E0|-0.4811E0
